# topic	english	chinese	visual
nature	wind	风	💨
nature	storm	暴风雨	⛈️
nature	thunder	雷声	🌩️
nature	lightning	闪电	⚡
nature	rainbow	彩虹	🌈
nature	weather	天气	🌤️
nature	spring	春天	🌱
nature	summer	夏天	☀️
nature	autumn	秋天	🍂
nature	winter	冬天	⛄
nature	day	白天	🌞
nature	night	夜晚	🌃
nature	morning	早晨	🌅
nature	afternoon	下午	🌤️
nature	evening	傍晚	🌇
nature	tree	树	🌳
nature	flower	花	🌸
nature	grass	草	🌱
nature	leaf	叶子	🍃
nature	branch	树枝	🌿
nature	root	根	🌱
nature	seed	种子	🌰
nature	forest	森林	🌲
nature	jungle	丛林	🌴
nature	mountain	高山	⛰️
nature	hill	小山	🌄
nature	valley	山谷	🏞️
nature	river	河流	🏞️
nature	lake	湖泊	🏞️
nature	sea	大海	🌊
nature	ocean	海洋	🌊
nature	beach	沙滩	🏖️
nature	island	岛屿	🏝️
nature	desert	沙漠	🏜️
nature	rock	岩石	🪨
nature	stone	石头	🪨
nature	sand	沙子	🏖️
nature	soil	土壤	🟫
nature	mud	泥土	🟤
nature	fire	火	🔥
nature	water	水	💧
nature	ice	冰	🧊
nature	pond	池塘	🐸
nature	waterfall	瀑布	🏞️
nature	cave	洞穴	🪨
nature	field	田野	🌾
nature	farm	农场	🚜
nature	bush	灌木	🌿
nature	plant	植物	🪴
nature	wood	木头	🪵
nature	stick	木棍	🪵
nature	shell	贝壳	🐚
nature	wave	波浪	🌊
nature	shadow	影子	👤
actions	run	跑	🏃
actions	walk	走	🚶
actions	jump	跳	🦘
actions	hop	单脚跳	🐇
actions	skip	蹦跳	⏭️
actions	climb	攀爬	🧗
actions	crawl	爬行	👶
actions	swim	游泳	🏊
actions	fly	飞	🕊️
actions	dance	跳舞	💃
actions	sing	唱歌	🎤
actions	talk	交谈	🗣️
actions	speak	说话	💬
actions	listen	听	👂
actions	hear	听见	👂
actions	look	看	👀
actions	see	看见	👁️
actions	watch	观看	📺
actions	read	阅读	📖
actions	write	写	✍️
actions	draw	画画	✏️
actions	paint	绘画	🎨
actions	color	涂色	🖍️
actions	count	数数	🔢
actions	add	相加	➕
actions	learn	学习	📚
actions	study	读书	📝
actions	teach	教	🧑‍🏫
actions	ask	提问	❓
actions	answer	回答	🙋
actions	think	思考	🤔
actions	know	知道	💡
actions	remember	记得	🧠
actions	forget	忘记	💭
actions	open	打开	📖
actions	close	关闭	📕
actions	push	推	🫷
actions	pull	拉	🫸
actions	carry	搬运	📦
actions	hold	拿着	🤲
actions	give	给	🎁
actions	take	拿走	🤚
actions	bring	带来	👜
actions	buy	购买	🛍️
actions	pay	付款	💳
actions	eat	吃	😋
actions	drink	喝	🥤
actions	cook	做饭	🧑‍🍳
actions	bake	烘焙	🥖
actions	wash	清洗	🧼
actions	clean	打扫	🧹
actions	brush	刷	🪥
actions	sleep	睡觉	😴
actions	wake	醒来	⏰
actions	sit	坐	🪑
actions	stand	站	🧍
actions	lie down	躺下	🛏️
actions	laugh	大笑	😂
actions	smile	微笑	😊
actions	cry	哭	😭
actions	shout	喊叫	📣
actions	whisper	低语	🤫
actions	clap	拍手	👏
actions	wave	挥手	👋
actions	point	指向	👉
actions	touch	触摸	👆
actions	kick	踢	🦵
actions	throw	扔	🤾
actions	catch	接住	🤲
actions	bounce	弹起	🏀
actions	play	玩耍	🛝
actions	build	搭建	🧱
people	family	家庭	👨‍👩‍👧
people	mother	母亲	👩
people	father	父亲	👨
people	mom	妈妈	👩
people	dad	爸爸	👨
people	parent	家长	🧑
people	parents	父母	👫
people	brother	兄弟	👦
people	sister	姐妹	👧
people	baby	婴儿	👶
people	grandmother	祖母	👵
people	grandfather	祖父	👴
people	grandma	奶奶	👵
people	grandpa	爷爷	👴
people	aunt	姑姨	👩
people	uncle	叔舅	👨
people	cousin	堂表兄妹	🧒
people	child	孩子	🧒
people	children	孩子们	🧒
people	boy	男孩	👦
people	girl	女孩	👧
people	man	男人	👨
people	woman	女人	👩
people	friend	朋友	🧑‍🤝‍🧑
people	neighbor	邻居	🏘️
people	teacher	老师	🧑‍🏫
people	student	学生	🧑‍🎓
people	doctor	医生	🧑‍⚕️
people	nurse	护士	🧑‍⚕️
people	farmer	农民	🧑‍🌾
people	cook	厨师	🧑‍🍳
people	driver	司机	🧑‍✈️
people	police officer	警察	👮
people	firefighter	消防员	🧑‍🚒
people	singer	歌手	🧑‍🎤
people	dancer	舞者	💃
people	artist	艺术家	🧑‍🎨
people	baker	面包师	🧑‍🍳
people	waiter	服务员	🧑‍🍽️
people	pilot	飞行员	🧑‍✈️
people	dentist	牙医	🦷
people	vet	兽医	🧑‍⚕️
people	coach	教练	🧑‍🏫
people	classmate	同学	🧑‍🤝‍🧑
people	team	团队	👥
school	school	学校	🏫
school	classroom	教室	🏫
school	playground	操场	🛝
school	library	图书馆	📚
school	gym	体育馆	🏀
school	office	办公室	🏢
school	hall	大厅	🚪
school	class	班级	🧑‍🏫
school	lesson	课程	📖
school	subject	学科	📚
school	English	英语	🔤
school	math	数学	➗
school	science	科学	🔬
school	art	美术	🎨
school	music	音乐	🎵
school	PE	体育课	⚽
school	homework	家庭作业	📝
school	test	测试	📋
school	question	问题	❓
school	answer	答案	✅
school	word	单词	🔤
school	letter	字母	🔡
school	alphabet	字母表	🔤
school	number	数字	🔢
school	line	线	➖
school	page	页	📄
school	paper	纸	📄
school	notebook	笔记本	📓
school	book	书	📘
school	story	故事	📖
school	dictionary	词典	📕
school	pencil	铅笔	✏️
school	pen	钢笔	🖊️
school	crayon	蜡笔	🖍️
school	marker	记号笔	🖊️
school	eraser	橡皮	▰
school	ruler	尺子	📏
school	scissors	剪刀	✂️
school	glue	胶水	🧴
school	bag	书包	🎒
school	backpack	双肩包	🎒
school	desk	课桌	🪑
school	chair	椅子	🪑
school	board	黑板	🟩
school	computer	电脑	💻
school	tablet	平板电脑	📱
school	lunchbox	午餐盒	🍱
school	bell	铃声	🔔
body	body	身体	🧍
body	head	头	🙂
body	face	脸	😀
body	hair	头发	💇
body	eye	眼睛	👁️
body	ear	耳朵	👂
body	nose	鼻子	👃
body	mouth	嘴巴	👄
body	lip	嘴唇	👄
body	tooth	牙齿	🦷
body	teeth	牙齿	😁
body	tongue	舌头	👅
body	neck	脖子	🧣
body	shoulder	肩膀	🤷
body	arm	手臂	💪
body	elbow	手肘	💪
body	hand	手	✋
body	finger	手指	☝️
body	thumb	拇指	👍
body	chest	胸部	🫁
body	back	背部	🔙
body	stomach	肚子	🫃
body	waist	腰	🧍
body	leg	腿	🦵
body	knee	膝盖	🦵
body	foot	脚	🦶
body	feet	双脚	🦶
body	toe	脚趾	🦶
body	skin	皮肤	🫳
body	bone	骨头	🦴
body	heart	心脏	❤️
body	blood	血液	🩸
body	brain	大脑	🧠
body	muscle	肌肉	💪
body	health	健康	💚
body	sick	生病的	🤒
body	well	健康的	🙂
body	hurt	受伤	🤕
body	pain	疼痛	😣
body	cold	感冒	🤧
body	cough	咳嗽	😷
body	fever	发烧	🤒
body	medicine	药	💊
body	hospital	医院	🏥
body	bandage	绷带	🩹
body	exercise	锻炼	🏋️
body	strong	强壮的	💪
clothes	clothes	衣服	👚
clothes	shirt	衬衫	👔
clothes	T-shirt	T恤	👕
clothes	blouse	女衬衫	👚
clothes	sweater	毛衣	🧶
clothes	hoodie	连帽衫	🧥
clothes	jacket	夹克	🧥
clothes	coat	外套	🧥
clothes	raincoat	雨衣	🧥
clothes	dress	连衣裙	👗
clothes	skirt	短裙	👗
clothes	jeans	牛仔裤	👖
clothes	pants	长裤	👖
clothes	shorts	短裤	🩳
clothes	socks	袜子	🧦
clothes	shoes	鞋	👞
clothes	boots	靴子	👢
clothes	sneakers	运动鞋	👟
clothes	sandals	凉鞋	🩴
clothes	hat	帽子	👒
clothes	cap	鸭舌帽	🧢
clothes	scarf	围巾	🧣
clothes	gloves	手套	🧤
clothes	belt	腰带	➰
clothes	tie	领带	👔
clothes	pocket	口袋	👖
clothes	button	纽扣	🔘
clothes	zipper	拉链	🤐
clothes	pajamas	睡衣	🥱
clothes	swimsuit	泳衣	🩱
clothes	uniform	制服	🧑‍✈️
clothes	watch	手表	⌚
clothes	glasses	眼镜	👓
clothes	sunglasses	太阳镜	🕶️
clothes	umbrella	雨伞	☂️
clothes	backpack	双肩包	🎒
clothes	handbag	手提包	👜
clothes	ring	戒指	💍
clothes	necklace	项链	📿
clothes	bracelet	手链	📿
clothes	helmet	头盔	⛑️
clothes	slipper	拖鞋	🥿
colors	color	颜色	🎨
colors	red	红色	🟥
colors	orange	橙色	🟧
colors	yellow	黄色	🟨
colors	green	绿色	🟩
colors	blue	蓝色	🟦
colors	purple	紫色	🟪
colors	pink	粉色	🌸
colors	brown	棕色	🟫
colors	black	黑色	⬛
colors	white	白色	⬜
colors	gray	灰色	◼️
colors	gold	金色	🥇
colors	silver	银色	🥈
colors	light	浅色	💡
colors	dark	深色	🌑
colors	bright	明亮的	✨
colors	shape	形状	🔷
colors	circle	圆形	🔵
colors	square	正方形	🟦
colors	triangle	三角形	🔺
colors	rectangle	长方形	▭
colors	oval	椭圆形	🥚
colors	star	星形	⭐
colors	heart	心形	❤️
colors	diamond	菱形	🔶
colors	line	线条	➖
colors	dot	点	•
colors	curve	曲线	〰️
colors	side	边	📐
colors	corner	角	📐
colors	big	大的	🔠
colors	small	小的	🔡
colors	long	长的	📏
colors	short	短的	✏️
colors	tall	高的	🦒
colors	wide	宽的	↔️
colors	thick	粗的	➖
colors	thin	细的	─
feelings	happy	开心的	😊
feelings	sad	难过的	😢
feelings	angry	生气的	😠
feelings	afraid	害怕的	😨
feelings	scared	恐惧的	😱
feelings	excited	兴奋的	🤩
feelings	surprised	惊讶的	😮
feelings	tired	疲倦的	😫
feelings	bored	无聊的	🥱
feelings	calm	平静的	😌
feelings	shy	害羞的	☺️
feelings	proud	自豪的	😎
feelings	brave	勇敢的	🦸
feelings	kind	友善的	🤗
feelings	nice	美好的	🙂
feelings	funny	有趣的	😄
feelings	hungry	饥饿的	😋
feelings	thirsty	口渴的	🥤
feelings	hot	热的	🥵
feelings	cold	冷的	🥶
feelings	warm	温暖的	☀️
feelings	cool	凉爽的	😎
feelings	good	好的	👍
feelings	bad	不好的	👎
feelings	okay	还好的	👌
feelings	sick	生病的	🤒
feelings	sorry	抱歉的	🙏
feelings	worried	担心的	😟
feelings	upset	烦恼的	😞
feelings	lonely	孤单的	😔
feelings	love	爱	❤️
feelings	like	喜欢	👍
feelings	dislike	不喜欢	👎
feelings	want	想要	🙋
feelings	need	需要	🤲
feelings	today	今天	📅
feelings	tomorrow	明天	➡️
feelings	yesterday	昨天	⬅️
feelings	now	现在	⏱️
feelings	later	稍后	⏳
feelings	early	早的	🌅
feelings	late	晚的	🌙
feelings	time	时间	🕰️
feelings	hour	小时	⏰
feelings	minute	分钟	⌚
feelings	birthday	生日	🎂
